Affiliate_id,Count,Name,Overall_percentile
5996,5,Chulaluk Phintha,59.9258
3451,45,Faith Anker,96.2966
10109,1,Tóth Frida,97.6369
13770,18,Tia-Clair Toomey,99.9905
6342,9,Liz Frederick,85.4598
11913,1,Sarah Llanos,1.3982
14016,8,Payton Patane,9.8399
13373,13,Lucie John,9.196
10638,9,Kirsten Farley,9.9236
7905,9,Sara Beightol,98.1392
16330,14,Cécile Gabinel,82.5236
9630,13,Robyn Alazraqui,9.3333
6740,15,Brittani Scalia,99.6315
10417,6,Morgan Maneely,92.8796
8730,7,Maria Steinsto,9.827
3869,13,Kari Werner,94.3814
3142,21,Dama Flores,92.3471
19228,1,Melania Partel,91.3278
20446,7,Alysha Troyer,95.7545
16798,5,Martha Ranahan,65.2553
9709,9,Teresa Jesse,98.9729
5852,2,Kellie Sheppard,91.5876
15512,7,Maria Maes,78.2618
10621,6,Maria Quinn Elliott,60.9822
2157,6,Alexandria Spencer,99.1084
4369,2,Maryam AlKanderi,77.1113
20289,10,Morgan Groothand,97.3012
16035,8,Tayler Upton,88.396
20496,5,Hye Ryun Lee,9.2099
10796,12,Miranda Smith,85.3631
8048,12,Laura Salas,99.6013
5845,11,Annemarie Kruger,92.5361
13907,19,Mel Liaver,93.3699
15995,5,Erin Lewis,88.4961
10057,3,Nina Pecenko,77.4108
227,5,Courtney Mericle,89.6483
6,26,Alexandra Germano,97.2477
17232,6,Andrea Bisi,78.9997
5330,13,Taryn Stratten,96.1749
6945,2,Dominika Gramblickova,95.5241
2890,16,Yelka Van den Brande,89.3592
15549,18,Kara D'Arcy,97.189
14789,22,Kelly Pena,9.3402
20204,2,Christine Pike,35.6544
16065,21,Päivi Vartia,89.6328
12741,4,Brittany Rogers,82.206
4067,5,Elisa Poon,9.8908
4148,9,Tracy Nagai,99.5167
12579,14,Helena Collins,99.3199
12616,1,Kay Isabell Wolfe,97.636
6648,2,Nam Eunah,88.7136
11028,2,Aline Senos,88.3485
15168,3,Sara Kooheji,76.3863
982,20,Leslie Pleasanton,95.5638
19068,15,Niki Groenewald,85.7921
17042,18,Staci Fujimoto,91.5721
4370,10,Heather Bourne,85.1914
5448,19,Rima Alhajj,95.9979
10202,5,Barbara Buckley,8.0033
5933,1,Alisha Fairchild,95.0347
16089,10,Karla Harkin,95.2738
5423,3,Stacey Falcioni,69.3618
10858,7,Sharon Brands,64.3801
10794,10,Bianca van Mil,70.419
2063,5,Rayelyn Knipp,92.7036
15236,24,Sandra Garcia,90.5614
3251,16,Deonna Lee,92.3834
12381,3,Melissa McKinniss,85.5798
3399,9,Marie Jensen,99.5935
14650,2,Marcela Martins,40.9062
13330,1,Jennifer Driscoll,67.3991
4300,8,Matilda Siikavuopio,97.7448
13668,20,Ana Luiza Gama,93.5192
16969,13,Katrina Stice,91.0473
8013,26,Hannah Harwood,8.5548
7384,14,Alecia Grantham,83.8994
10733,17,Catherine Lambert,90.9956
11899,1,Carina Salar,82.8015
