Affiliate_id,Count,Name,Overall_percentile
20500,12,Colin Ball,58.7647
18475,5,Gabe Carpenter,74.9262
4984,33,Martin Tunhag,99.1329
7856,28,Lucas Mateucci,98.2242
5034,22,Ivar Stenberg,95.6154
5066,32,Jaedeok Kim,99.5917
7551,6,Jordan Pohl,85.7296
578,5,Fraser Johnstone,77.9753
21225,4,Joshua Thorn,97.2423
17682,25,Jacob Dubiel,9.7262
12969,4,Ben Buhrow,91.3296
18014,1,Arnaldo Vieira Dos Santos Junior,68.7488
20436,4,Peter Moore,46.3754
6154,11,Scott Patterson,95.4559
16985,12,Daniel Driver,98.4071
21281,3,Matthew Kreiser,20.1644
15797,20,Brian Jenkins,92.7439
14908,32,Matt Wills,9.9288
12418,5,Stefan Meyer,95.2507
20832,5,William Thompson,74.0825
19367,26,Dallas Haught,98.5842
1518,7,Eugene Ward,92.5089
8700,16,Pol Palomé,99.1355
1939,10,Chris Cavanagh,90.3014
21108,7,Jason Berger,93.7992
10338,7,Tony Seamans,83.3281
7545,9,Jeff Long,85.9769
1275,5,John Blodgett,93.8417
5214,28,Adam Garrity,94.9231
8682,5,Bruno Henriques,77.1863
8480,1,Marco Librera,24.8654
9170,5,Jeremy Puszakowski,99.1153
8245,6,Roberto Tampieri,95.0135
4689,17,Craig Orn,8.9543
13190,8,Hesus Kidd,81.5428
12088,9,Bernardo Malesci,96.331
16324,14,Craig Thompson,89.2014
14763,16,Orlando Olivera,90.6023
13583,31,Quentin Lecomte,96.986
18757,15,Kian Pei Tay,88.876
15558,27,Hyungu Cho,99.748
20322,1,Sebastian Amaro,7.7633
809,32,Dane mclaughlin,99.8985
16786,21,Willy Georges,99.9989
18564,18,Ola Hjelmar,96.3879
19698,4,Matheus Hummel,55.378
19550,16,Chase Sailer,99.7251
17268,40,Adrian Gongora,99.0069
19526,26,Joshua Patch,96.483
7998,25,Michaël Blier-Langlois,94.2825
4330,4,Shane Bowling,84.6046
7214,6,Joel Cantu,52.6894
2888,6,Jarrod Bowe,97.9648
14321,10,Guilhermo Lucas Gulin,84.0799
11238,9,Anton Sweeney,82.8991
18700,38,Cedrik Bernier,98.8644
4947,31,Lucas Standen,95.5473
16878,2,Diogo Soares,89.9792
6824,2,Kamil Bojda,96.9004
5996,11,Anantachai Somboontanakit,8.3705
3451,58,Emmanuel Alayon,97.9138
14015,2,Gerry Hoe,82.1515
9542,30,Yuyi Hua,91.663
13770,11,William Kearney,97.0636
5418,2,Gregory McCormick,26.7676
6342,28,Jake Humphrey,96.9791
11913,3,Andrew Kivela,30.2649
16421,1,Filippos Iakovidis,99.2057
13373,27,Bleddyn Coleman,95.3155
10638,15,Joseph Bowman,6.8032
7905,12,Korey Bissonnette,88.5623
16330,36,Oddin Busch,98.5321
9630,7,Allistair Mallillin,63.5699
6740,36,Andrew McGovern,99.8495
6994,3,Jacob Favaro,23.6696
10417,12,Daniel Burns,69.3326
8730,7,Jan erik Flåt,74.3169
11381,3,Aleksandr Tkachenko,99.647
3869,25,Jordan Robert,99.6231
3142,44,Nick Alvarenga,99.3003
19228,10,Giuseppe Girelli,94.039
20446,12,Dakota Rager,99.8894
16798,7,Jarad Green,82.6242
18219,1,Karl Steadman,47.8029
9709,3,Andrew Lincoln,91.4976
3894,13,Dustin Hollister,98.6501
15512,6,Trey Burke,75.0379
10621,10,Rhyss Murty,90.4205
17787,12,Jianchen Luo,97.7309
4369,3,Hussain Al Bahbahani,99.2578
20289,16,Anthony Golembeck,97.3677
16035,13,Rob Mathes,85.4229
20496,13,Lee Ho-Gyu,90.3057
10796,20,Marty Wells,93.4106
8048,30,Mariano Bilbao,99.5242
5845,21,Barend Booysen,92.9836
13907,15,Victor Madrid,94.9343
15995,5,Allan Fleck Jr.,97.8925
10057,14,Luka Golob,89.4991
227,7,Glendon Bautista,99.0473
6,38,Doug Germano,98.3763
17232,6,Leonardo Wernersbach Lima,94.7429
5330,17,Tom Marais,98.3306
6945,16,Jan Hanak,98.9797
2890,41,Dries De Kegel,96.306
1201,20,Oskar Toro,99.8155
14789,38,Patrick Di Dodo,94.8333
20204,11,Brad Fixter,9.302
12048,2,Yan Szuecs,54.9617
16065,30,Joonas Pitkonen,90.8974
12741,12,Tanner LeRoy,84.9502
4067,7,Mike Barrera,8.6757
4148,10,Ryan Miller,94.0571
12579,18,Nathan Evans,98.9532
12616,10,Chris Raymund Hernandez,75.2723
6648,4,Sanggyun Oh,84.0038
15168,17,Bader Alalawi,98.2083
982,21,Mark Mullnack,98.8341
17038,10,Norman Woodring,99.9516
1763,26,Ethan McKay,95.609
14735,1,Alvaro Martinez,26.2211
4370,14,Adam Whittal,93.8354
5448,25,Hamzeh Abzakh,94.5659
10202,3,Jason Jones,50.3948
5933,9,Douglas Bina,96.1773
16089,36,Michael Walsh,99.1142
5423,7,Evan Barr,94.0369
8326,6,Chase Hoffman,63.7672
10858,8,Sjors van der Waerden,91.5354
10794,23,Colin Liem,85.307
13409,14,Dylan Dunstan,94.6137
8848,34,Ivar Hayward,99.2743
15236,15,Gil Campuzano,96.9998
3251,13,Joshua Tiqui,92.0564
12381,2,Thad Haines,96.5054
197,5,Patrick Hall,64.1967
14650,5,Paulo Oliveira,70.7723
13330,5,Peter Driscoll,86.9365
4300,16,Dennis Björnström,96.8802
