,Name,Division,OverallScore,Rank,Wk1_Score,Wk1_Rank,Wk2_Score,Wk2_Rank,Wk3_Score,Wk3_Rank,Wk4_Score,Wk4_Rank,Wk5_Score,Wk5_Rank
10036,Jeremie Page,I-Men,41218,6592,108,7025,50,18026,288,6732,250,3017,96,6418
17612,Jay Lawson,I-Men,41230,6593,117,2849,52,17049,298,5802,244,6298,88,9232
68686,Robert Murry,I-Men,41232,6594,103,10636,68,3235,281,7624,240,9487,85,10250
27258,Mitchell Mack,I-Men,41238,6595,128,566,58,14372,247,12885,244,6298,94,7117
35904,Robert Veberg,I-Men,41241,6596,102,11497,60,8355,280,7715,250,3017,84,10657
50379,Glenn Getchell,I-Men,41243,6597,100,13376,60,8355,295,6080,240,9487,103,3945
11087,Rudy Magdaleno,I-Men,41254,6598,104,9828,63,5697,240,13968,249,3512,90,8249
24343,David Matzri,I-Men,41258,6599,101,12397,60,8355,271,9275,243,6980,102,4251
6395,TJ Miller,I-Men,41262,6600,108,7025,60,8355,283,7411,240,9487,89,8984
7413,Tom Smith,I-Men,41268,6601,103,10636,60,8355,280,7715,241,8479,97,6083
30232,Brett Sparg,I-Men,41271,6602,113,4399,60,8355,247,12885,242,7711,91,7921
44038,Kurt Hall,I-Men,41271,6602,103,10636,63,5697,298,5802,241,8479,84,10657
68848,Michael Gordon Sr.,I-Men,41296,6604,100,13376,65,4529,309,4629,211,14817,103,3945
14330,Matthew Zarzuela,I-Men,41301,6605,107,7645,60,8355,311,4398,240,9487,82,11416
27277,John Giron,I-Men,41302,6606,108,7025,58,14372,320,3693,243,6980,88,9232
64134,Jesse Nunley,I-Men,41305,6607,100,13376,60,8355,268,9709,245,5614,102,4251
25500,Manish Mangal,I-Men,41314,6608,105,8971,47,19285,291,6450,254,1634,100,4974
56385,Bryan Zobre,I-Men,41320,6609,92,19485,61,7203,309,4629,246,5029,100,4974
81748,Brian McClellan,I-Men,41321,6610,101,12397,60,8355,284,7291,246,5029,90,8249
41536,Paul Ramage,I-Men,41327,6611,101,12397,55,15680,322,3569,248,3936,98,5745
12101,Zechariah Rogers,I-Men,41328,6612,101,12397,60,8355,292,6352,241,8479,98,5745
50141,Jay Strief,I-Men,41332,6613,114,3989,46,19713,287,6966,243,6980,104,3684
12374,Michael Menard,I-Men,41336,6614,98,15023,60,8355,303,5262,247,4447,90,8249
70261,Tim Quan,I-Men,41348,6615,97,15652,75,1247,299,5720,241,8479,85,10250
44582,Robert Thomas,I-Men,41349,6616,99,14473,67,3653,276,8322,243,6980,91,7921
64840,Rafael VALENZUELA,I-Men,41377,6617,125,936,40,22166,301,5590,242,7711,100,4974
5384,Dominick Mandalari,I-Men,41380,6618,104,9828,60,8355,303,5262,214,14567,105,3368
59037,Tory Nelson,I-Men,41381,6619,90,21273,70,2553,289,6630,243,6980,103,3945
27995,Peter Hinz,I-Men,41384,6620,109,6535,64,5084,276,8322,241,8479,78,12964
3372,Andreas Lindberg,I-Men,41386,6621,92,19485,72,1928,290,6542,247,4447,89,8984
32509,Jim Hardy,I-Men,41391,6622,101,12397,61,7203,273,8857,252,2277,84,10657
51805,Mike Bogias,I-Men,41392,6623,106,8256,60,8355,281,7624,240,9487,92,7670
11425,D'Arcy Bingham,I-Men,41398,6624,109,6535,54,16167,271,9275,247,4447,100,4974
2541,tor ahman,I-Men,41406,6625,107,7645,60,8355,350,1933,194,16356,94,7117
24669,Tyler Miles,I-Men,41407,6626,108,7025,65,4529,269,9575,205,15304,100,4974
3947,JEFF SMITH,I-Men,41408,6627,96,16352,60,8355,294,6172,251,2608,91,7921
7763,Jason Lydon,I-Men,41408,6627,101,12397,64,5084,280,7715,243,6980,88,9232
